               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10719,            0.030934,            0.020253,            0.087213,            0.080056,             0.02312,           0.0047043,            0.091542,            0.022323,            0.011328,              0.0005,              0.0005,              0.0955
                   1,              0.0842,            0.032601,           0.0073293,             0.33115,             0.26826,             0.20192,            0.071207,            0.073961,            0.023012,           0.0034894,           0.0010099,           0.0010099,             0.09091
                   2,            0.068536,            0.031398,           0.0026195,             0.40362,             0.38971,             0.34171,             0.11244,            0.062255,              0.0202,           0.0013229,           0.0015192,           0.0015192,            0.086319
                   3,            0.060233,            0.027308,           0.0010974,             0.47589,               0.375,             0.35773,             0.13627,            0.059101,             0.01946,           0.0010699,           0.0020275,           0.0020275,            0.081727
                   4,            0.058289,            0.026104,          0.00079538,             0.61722,             0.45506,             0.52031,             0.20348,            0.051971,            0.017502,          0.00068993,           0.0025344,           0.0025344,            0.077134
                   5,            0.055979,            0.025547,          0.00074152,               0.547,             0.55456,             0.54383,             0.20629,            0.050923,            0.016744,          0.00062946,           0.0030396,           0.0030396,             0.07254
                   6,            0.053348,            0.024617,          0.00069214,             0.58186,             0.48275,             0.55141,             0.22804,            0.051156,            0.016461,            0.000624,           0.0035425,           0.0035425,            0.067942
                   7,            0.051038,            0.024514,          0.00067082,             0.60496,             0.59793,             0.60889,             0.27031,            0.047593,            0.016125,          0.00059682,           0.0040427,           0.0040427,            0.063343
                   8,             0.04985,            0.023473,          0.00067464,              0.5958,             0.53792,              0.5596,             0.22288,            0.048414,            0.016901,          0.00058153,             0.00454,             0.00454,             0.05874
                   9,            0.050181,            0.023259,          0.00065261,             0.57515,             0.54073,             0.55312,             0.23285,            0.050628,             0.01635,          0.00077099,           0.0050337,           0.0050337,            0.054134
                  10,            0.053372,            0.023685,           0.0009848,             0.57514,             0.55758,             0.53993,             0.20154,            0.051747,            0.015786,          0.00086161,           0.0055237,           0.0055237,            0.049524
                  11,            0.049456,            0.022852,          0.00092619,             0.71299,             0.55825,             0.62251,             0.27757,            0.048409,            0.015892,          0.00088409,           0.0060094,           0.0060094,            0.044909
                  12,            0.048669,             0.02301,          0.00089621,             0.56134,             0.52302,             0.53715,             0.22534,            0.049865,             0.01675,          0.00087531,           0.0064904,           0.0064904,             0.04029
                  13,            0.046977,            0.022428,          0.00081637,             0.63488,              0.5446,             0.59673,             0.24699,            0.047982,            0.016817,          0.00074136,           0.0069664,           0.0069664,            0.035666
                  14,            0.047301,            0.023392,          0.00073986,             0.66262,             0.54213,             0.56141,             0.23604,             0.04898,            0.017393,          0.00079127,            0.007437,            0.007437,            0.031037
                  15,            0.045344,            0.022015,          0.00069512,             0.63747,             0.47753,             0.53293,             0.22099,            0.049279,            0.017538,          0.00063715,           0.0079018,           0.0079018,            0.026402
                  16,            0.046454,            0.022529,           0.0006622,             0.62666,               0.521,             0.54722,             0.22248,            0.050339,            0.017326,          0.00070359,           0.0083605,           0.0083605,            0.021761
                  17,            0.044969,            0.022659,          0.00062355,             0.44792,             0.32303,             0.31337,             0.12318,            0.056957,            0.022439,          0.00098754,           0.0088127,           0.0088127,            0.017113
                  18,            0.044816,            0.022832,          0.00055661,             0.67068,             0.50421,             0.55063,             0.23139,            0.053138,            0.017237,          0.00060539,            0.009258,            0.009258,            0.012458
                  19,             0.04428,            0.023087,          0.00051177,             0.45187,             0.39607,             0.35017,             0.12853,            0.054503,            0.019242,          0.00048354,           0.0095153,           0.0095153,           0.0095153
                  20,            0.043995,            0.022798,          0.00047513,             0.47548,              0.5618,             0.50421,             0.19073,             0.05006,            0.017627,          0.00045753,           0.0095153,           0.0095153,           0.0095153
                  21,            0.042946,            0.022606,          0.00041323,             0.54134,             0.44803,             0.44872,              0.1715,             0.05133,            0.018948,          0.00050426,           0.0094641,           0.0094641,           0.0094641
                  22,            0.042772,            0.022047,          0.00037443,             0.65103,             0.51094,             0.55369,             0.22981,            0.049284,            0.017948,          0.00046551,           0.0094106,           0.0094106,           0.0094106
                  23,            0.041322,            0.022717,          0.00036762,             0.59602,             0.48876,             0.52671,             0.20307,            0.049943,            0.018088,          0.00045593,           0.0093547,           0.0093547,           0.0093547
                  24,            0.041919,            0.022541,          0.00035562,             0.55962,             0.52809,             0.51768,             0.21185,            0.048717,            0.017719,          0.00040899,           0.0092965,           0.0092965,           0.0092965
                  25,            0.040879,            0.021439,           0.0003245,             0.59439,             0.57424,             0.58443,             0.22955,            0.048887,            0.017054,           0.0003914,           0.0092361,           0.0092361,           0.0092361
                  26,            0.040335,            0.021562,          0.00032618,             0.62377,             0.56461,             0.60283,             0.24188,            0.048645,            0.016738,          0.00036935,           0.0091734,           0.0091734,           0.0091734
                  27,            0.039692,             0.02174,          0.00029261,             0.61069,             0.59129,             0.59738,             0.24171,            0.048011,            0.016713,          0.00031525,           0.0091086,           0.0091086,           0.0091086
                  28,             0.03839,            0.020619,          0.00026393,             0.66755,             0.53652,             0.55864,              0.2378,            0.049475,            0.018659,          0.00039793,           0.0090416,           0.0090416,           0.0090416
                  29,            0.038848,            0.020982,          0.00026065,             0.62736,             0.60815,             0.60585,             0.25681,            0.048326,             0.01672,          0.00030756,           0.0089726,           0.0089726,           0.0089726
