               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11243,            0.022819,                   0,             0.00866,            0.088435,           0.0051203,          0.00063838,            0.043775,             0.01144,                   0,             0.00021,             0.00021,             0.09811
                   1,            0.078193,            0.025961,                   0,               0.102,             0.22449,            0.075171,            0.010037,            0.035754,           0.0099274,                   0,          0.00042994,          0.00042994,             0.09613
                   2,            0.059727,            0.026607,                   0,             0.61925,             0.68027,             0.56971,             0.17019,            0.028995,           0.0090343,                   0,          0.00064964,          0.00064964,             0.09415
                   3,            0.050513,            0.022819,                   0,             0.71867,             0.78201,             0.68141,             0.16104,            0.030838,           0.0075831,                   0,          0.00086893,          0.00086893,            0.092169
                   4,            0.046812,             0.01902,                   0,             0.92765,             0.79592,             0.81119,             0.43486,            0.030287,           0.0065477,                   0,           0.0010876,           0.0010876,            0.090188
                   5,            0.045233,            0.015364,                   0,             0.42794,             0.80952,             0.36244,            0.093576,            0.033797,           0.0054141,                   0,           0.0013055,           0.0013055,            0.088206
                   6,            0.044028,              0.0143,                   0,             0.91402,             0.79549,             0.81866,              0.3025,            0.032969,           0.0044895,                   0,           0.0015225,           0.0015225,            0.086222
                   7,            0.041282,            0.012237,                   0,             0.85181,             0.78207,             0.80339,              0.6101,            0.026051,           0.0039453,                   0,           0.0017383,           0.0017383,            0.084238
                   8,             0.03967,             0.01238,                   0,             0.67328,             0.72109,             0.66319,             0.12365,            0.028709,           0.0036124,                   0,           0.0019528,           0.0019528,            0.082253
                   9,             0.03793,            0.011402,                   0,              0.9529,             0.82993,             0.82705,              0.4346,            0.031464,           0.0031044,                   0,           0.0021658,           0.0021658,            0.080266
                  10,            0.035258,            0.010427,                   0,             0.99994,             0.83673,             0.84457,             0.45145,            0.029774,           0.0030939,                   0,           0.0023772,           0.0023772,            0.078277
                  11,            0.033821,            0.010239,                   0,             0.79975,             0.68027,             0.62499,             0.11938,            0.034869,           0.0029939,                   0,           0.0025867,           0.0025867,            0.076287
                  12,            0.031639,           0.0091731,                   0,                   1,             0.83672,             0.83828,             0.56228,            0.025951,           0.0030662,                   0,           0.0027942,           0.0027942,            0.074294
                  13,             0.03208,            0.009483,                   0,             0.99142,             0.80272,             0.83665,             0.28319,            0.030795,           0.0025249,                   0,           0.0029996,           0.0029996,              0.0723
                  14,            0.031903,           0.0092391,                   0,             0.99998,             0.83673,             0.84343,             0.63858,            0.024284,           0.0025146,                   0,           0.0032026,           0.0032026,            0.070303
                  15,            0.030304,           0.0085575,                   0,             0.99986,             0.83673,             0.85449,              0.2146,            0.031793,           0.0024968,                   0,           0.0034031,           0.0034031,            0.068303
                  16,            0.029049,           0.0078219,                   0,             0.99999,             0.83673,             0.88624,             0.51839,            0.023108,           0.0023471,                   0,            0.003601,            0.003601,            0.066301
                  17,            0.028774,           0.0083262,                   0,             0.96799,             0.82294,             0.84592,             0.46965,             0.03271,           0.0027406,                   0,           0.0037961,           0.0037961,            0.064296
                  18,            0.027865,           0.0077914,                   0,                   1,             0.84354,              0.8566,             0.51965,             0.02416,           0.0022714,                   0,           0.0039882,           0.0039882,            0.062288
                  19,            0.027059,           0.0078925,                   0,             0.99994,             0.83673,             0.84248,             0.61937,            0.028799,           0.0019492,                   0,           0.0041772,           0.0041772,            0.060277
                  20,            0.027865,           0.0074094,                   0,             0.99193,             0.83673,             0.87869,             0.24087,            0.030339,           0.0020993,                   0,            0.004363,            0.004363,            0.058263
                  21,            0.025456,           0.0075704,                   0,             0.98399,             0.83673,             0.85521,             0.44527,            0.029169,           0.0022038,                   0,           0.0045453,           0.0045453,            0.056245
                  22,            0.028442,           0.0072867,                   0,             0.99959,             0.83673,             0.85186,              0.2558,            0.032202,           0.0024635,                   0,           0.0047241,           0.0047241,            0.054224
                  23,            0.035762,           0.0083084,                   0,             0.85599,             0.72789,             0.74389,             0.12036,             0.03063,           0.0021986,                   0,           0.0048993,           0.0048993,            0.052199
                  24,            0.031108,           0.0080558,                   0,             0.99161,             0.82313,             0.84282,             0.21467,            0.035132,           0.0024463,                   0,           0.0050706,           0.0050706,            0.050171
                  25,            0.029831,           0.0078079,                   0,                   1,              0.8367,             0.84259,             0.34676,            0.029106,           0.0020154,                   0,            0.005238,            0.005238,            0.048138
                  26,            0.029965,           0.0077463,                   0,             0.98359,             0.82313,             0.83374,             0.54864,            0.027612,           0.0025458,                   0,           0.0054014,           0.0054014,            0.046101
                  27,            0.029239,            0.007164,                   0,                   1,             0.83671,             0.84461,             0.40197,            0.028525,           0.0020982,                   0,           0.0055606,           0.0055606,            0.044061
                  28,            0.029226,           0.0070056,                   0,             0.99973,             0.83673,             0.85448,             0.38058,            0.030181,           0.0020008,                   0,           0.0057155,           0.0057155,            0.042016
                  29,            0.028374,           0.0070296,                   0,             0.99193,             0.83673,             0.85721,             0.38603,            0.027712,           0.0020942,                   0,           0.0058661,           0.0058661,            0.039966
                  30,            0.027253,           0.0069849,                   0,             0.99197,             0.84354,             0.87686,             0.49397,             0.02619,           0.0019309,                   0,           0.0060122,           0.0060122,            0.037912
                  31,            0.026007,            0.006446,                   0,              0.9999,             0.84354,             0.87251,             0.60827,            0.026818,            0.002079,                   0,           0.0061537,           0.0061537,            0.035854
                  32,            0.026698,           0.0068408,                   0,             0.99998,             0.83673,             0.88502,             0.44958,            0.028347,           0.0019515,                   0,           0.0062905,           0.0062905,             0.03379
                  33,            0.028281,           0.0066145,                   0,                   1,             0.84353,             0.87361,             0.41859,            0.026349,           0.0019654,                   0,           0.0064226,           0.0064226,            0.031723
